geo_level,id,insurance_type,source,year,percent25,percent50,percent75
USA,ES001,Medicare,CMS,2020,623.2,1093.19,2568.0
USA,IM104,Medicare,CMS,2020,308.8,641.17,1825.6
USA,IM211,Medicare,CMS,2020,759.2,1495.74,4134.4
USA,IM403,Medicare,CMS,2020,114.4,175.57,379.2
USA,IM407,Medicare,CMS,2020,100.0,168.78,361.6
USA,IM601,Medicare,CMS,2020,25.6,38.8,83.2
USA,IM606,Medicare,CMS,2020,31.2,47.53,100.8
USA,IM616,Medicare,CMS,2020,23.2,36.86,75.2
USA,IM627,Medicare,CMS,2020,36.0,56.26,115.2
USA,LT105,Medicare,CMS,2020,5.6,8.73,19.2
USA,LT106,Medicare,CMS,2020,5.6,8.73,20.8
USA,LT211,Medicare,CMS,2020,1.6,1.94,4.8
USA,LT213,Medicare,CMS,2020,2.4,3.88,9.6
USA,LT219,Medicare,CMS,2020,5.6,8.73,20.8
USA,LT313,Medicare,CMS,2020,16.8,26.19,57.6
USA,LT315,Medicare,CMS,2020,10.4,15.52,35.2
USA,LT403,Medicare,CMS,2020,68.8,99.91,212.8
USA,LT503,Medicare,CMS,2020,9.6,15.52,40.0
USA,OV116,Medicare,CMS,2020,54.4,77.6,163.2
USA,OV307,Medicare,CMS,2020,32.0,46.56,96.0
USA,OV411,Medicare,CMS,2020,135.2,207.58,473.6
USA,OV412,Medicare,CMS,2020,135.2,207.58,473.6
USA,OV521,Medicare,CMS,2020,422.4,584.91,1155.2
USA,PX207,Medicare,CMS,2020,5523.2,10341.17,24656.0
USA,PX222,Medicare,CMS,2020,11725.6,22494.3,59483.2
AK,ES001,Medicare,CMS,2020,1067.2,1796.44,3944.0
AK,IM104,Medicare,CMS,2020,817.6,1950.67,3598.4
AK,IM403,Medicare,CMS,2020,357.6,498.58,924.8
AK,IM407,Medicare,CMS,2020,362.4,531.56,974.4
AK,IM601,Medicare,CMS,2020,79.2,133.86,244.8
AK,IM606,Medicare,CMS,2020,104.8,169.75,284.8
AK,IM627,Medicare,CMS,2020,136.8,187.21,313.6
AK,LT105,Medicare,CMS,2020,24.8,31.04,65.6
AK,LT106,Medicare,CMS,2020,20.0,24.25,40.0
AK,LT211,Medicare,CMS,2020,6.4,8.73,14.4
AK,LT213,Medicare,CMS,2020,10.4,12.61,24.0
AK,LT219,Medicare,CMS,2020,19.2,31.04,52.8
AK,LT313,Medicare,CMS,2020,20.8,59.17,105.6
AK,LT315,Medicare,CMS,2020,16.8,51.41,86.4
AK,LT403,Medicare,CMS,2020,177.6,268.69,465.6
AK,OV116,Medicare,CMS,2020,140.0,193.03,329.6
AK,OV307,Medicare,CMS,2020,80.0,118.34,201.6
AK,OV411,Medicare,CMS,2020,384.8,500.52,897.6
AK,OV412,Medicare,CMS,2020,384.8,500.52,897.6
AK,OV521,Medicare,CMS,2020,607.2,883.67,1785.6
AR,ES001,Medicare,CMS,2020,587.2,904.04,1846.4
AR,IM104,Medicare,CMS,2020,132.0,161.02,265.6
AR,IM403,Medicare,CMS,2020,143.2,176.54,291.2
AR,IM601,Medicare,CMS,2020,32.0,38.8,65.6
AR,IM606,Medicare,CMS,2020,40.0,49.47,81.6
AR,IM616,Medicare,CMS,2020,31.2,37.83,64.0
AR,IM627,Medicare,CMS,2020,45.6,56.26,92.8
AR,LT105,Medicare,CMS,2020,8.8,13.58,22.4
AR,LT106,Medicare,CMS,2020,9.6,14.55,24.0
AR,LT211,Medicare,CMS,2020,2.4,3.88,6.4
AR,LT213,Medicare,CMS,2020,4.8,5.82,11.2
AR,LT219,Medicare,CMS,2020,9.6,13.58,22.4
